,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Temperature(℃).1,Humidity(%).1,Solar(W/m²),UVI,Rain Rate(mm/hr),Daily(mm),Event(mm),Hourly(mm),Weekly(mm),Monthly(mm),Yearly(mm),Wind Speed(m/s),Wind Gust(m/s),Wind Direction(º),Relative(hPa),Absolute(hPa),Temperature(℃).2,Humidity(%).2,Soilmoisture(%),Soilmoisture(%).1,Temperature(℃).3,Haptic Array(Battery)(V),Haptic Array(Capacitor)(V),Soilmoisture Sensor CH1(V),Soilmoisture Sensor CH2(V),Temperature Sensor CH1(V)
10,14.9,14.9,10.9,77,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,2.7,204,1009.1,1009.1,24.4,52,28,25,20.2,3.06,5.0,1.5,1.5,1.5
11,14.9,14.9,10.9,77,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,2.5,226,1009.2,1009.2,24.4,52,28,25,20.2,3.06,5.0,1.5,1.5,1.5
12,14.8,14.8,11.0,78,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.4,210,1009.2,1009.2,24.4,52,28,25,20.2,3.06,5.0,1.5,1.5,1.5
13,14.7,14.7,10.9,78,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.7,216,1009.2,1009.2,24.3,52,28,25,20.1,3.06,5.0,1.5,1.5,1.5
14,14.7,14.7,10.8,77,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.2,213,1009.2,1009.2,24.3,52,28,25,20.1,3.06,5.0,1.5,1.5,1.5
15,14.7,14.7,10.8,78,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.4,206,1009.3,1009.3,24.3,52,28,25,20.1,3.06,5.0,1.5,1.5,1.5
16,14.7,14.7,10.7,77,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.4,216,1009.2,1009.2,24.3,52,28,25,20.1,3.06,5.0,1.5,1.5,1.5
17,14.7,14.7,10.7,77,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,2.0,223,1009.3,1009.3,24.3,52,28,25,20.1,3.06,5.0,1.5,1.5,1.48
18,14.7,14.7,10.7,77,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,2.8,209,1009.4,1009.4,24.3,52,28,25,20.0,3.06,5.0,1.5,1.5,1.48
19,14.6,14.6,10.7,78,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,1.5,193,1009.3,1009.3,24.3,52,28,25,20.0,3.06,5.0,1.5,1.5,1.49
20,14.5,14.5,10.7,78,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,1.9,230,1009.3,1009.3,24.3,52,28,25,20.1,3.06,5.0,1.5,1.5,1.5
21,14.4,14.4,10.8,79,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,1.8,215,1009.4,1009.4,24.3,52,28,25,20.0,3.06,5.0,1.5,1.5,1.5
22,14.3,14.3,10.8,79,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.8,2.1,242,1009.4,1009.4,24.3,52,28,25,19.9,3.06,5.0,1.5,1.5,1.5
23,14.3,14.3,10.9,80,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,2.7,218,1009.4,1009.4,24.3,52,28,25,19.9,3.06,5.0,1.5,1.5,1.5
24,14.1,14.1,10.9,81,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,2.7,203,1009.4,1009.4,24.3,52,28,25,19.9,3.06,4.9,1.5,1.5,1.5
25,14.0,14.0,10.9,82,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,1.9,269,1009.4,1009.4,24.3,52,28,25,19.8,3.06,4.9,1.5,1.5,1.5
26,13.9,13.9,10.9,82,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.2,238,1009.3,1009.3,24.3,52,28,25,19.8,3.06,4.9,1.5,1.5,1.5
27,13.8,13.8,10.9,83,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,1.8,203,1009.3,1009.3,24.3,52,28,25,19.8,3.06,4.9,1.5,1.5,1.5
28,13.7,13.7,10.9,83,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,1.5,196,1009.3,1009.3,24.2,52,28,25,19.8,3.06,4.9,1.5,1.5,1.5
29,13.7,13.7,10.9,83,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,1.8,260,1009.4,1009.4,24.2,52,28,25,19.8,3.06,4.9,1.5,1.5,1.5
30,13.6,13.6,10.9,84,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.8,226,1009.2,1009.2,24.2,52,28,25,19.8,3.06,4.9,1.5,1.5,1.5
31,13.5,13.5,10.8,84,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,1.3,207,1009.2,1009.2,24.2,52,27,25,19.7,3.06,4.9,1.5,1.5,1.5
32,13.5,13.5,10.9,84,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,1.5,215,1009.1,1009.1,24.2,52,28,25,19.6,3.06,4.9,1.5,1.5,1.5
33,13.4,13.4,10.9,85,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.2,0.7,219,1009.2,1009.2,24.2,52,28,25,19.7,3.06,4.9,1.5,1.5,1.5
34,13.3,13.3,10.9,85,23.9,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.2,1.1,195,1009.2,1009.2,24.2,52,28,25,19.6,3.06,4.9,1.5,1.5,1.5
35,13.3,13.3,10.9,86,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,1.3,215,1009.2,1009.2,24.2,52,28,25,19.6,3.06,4.9,1.5,1.5,1.5
36,13.2,13.2,10.9,86,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,0.9,230,1009.2,1009.2,24.2,51,27,25,19.6,3.06,4.9,1.5,1.5,1.5
37,13.2,13.2,10.9,86,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,0.9,184,1009.1,1009.1,24.2,51,28,25,19.5,3.06,4.9,1.5,1.5,1.5
38,13.2,13.2,10.9,86,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.2,1.2,233,1009.0,1009.0,24.2,51,28,25,19.4,3.06,4.9,1.5,1.5,1.5
39,13.1,13.1,10.9,86,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,1.0,289,1009.0,1009.0,24.2,51,28,25,19.4,3.06,4.9,1.5,1.5,1.5
40,13.1,13.1,11.0,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,0.6,5,1009.0,1009.0,24.2,51,27,25,19.4,3.06,4.9,1.5,1.5,1.5
41,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,1.1,195,1008.9,1008.9,24.2,51,28,25,19.3,3.06,4.9,1.5,1.5,1.5
42,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.1,241,1009.0,1009.0,24.1,51,27,25,19.3,3.06,4.9,1.5,1.5,1.5
43,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,1.2,205,1009.0,1009.0,24.1,51,27,25,19.4,3.06,4.9,1.5,1.5,1.5
44,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,1.8,204,1008.9,1008.9,24.1,51,27,25,19.3,3.06,4.8,1.5,1.5,1.5
45,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,0.9,213,1008.9,1008.9,24.1,51,28,25,19.3,3.06,4.8,1.5,1.5,1.5
46,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.2,1.2,1,1008.9,1008.9,24.1,51,27,25,19.3,3.06,4.8,1.5,1.5,1.5
47,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,1.2,80,1008.8,1008.8,24.1,51,27,25,19.2,3.06,4.8,1.5,1.5,1.5
48,13.0,13.0,10.9,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,2.0,217,1008.8,1008.8,24.1,51,27,25,19.2,3.06,4.8,1.5,1.5,1.5
49,12.9,12.9,10.9,88,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.2,193,1008.8,1008.8,24.1,51,28,25,19.2,3.06,4.8,1.5,1.5,1.5
50,12.9,12.9,10.8,87,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,2.4,207,1008.8,1008.8,24.1,51,27,25,19.2,3.06,4.8,1.5,1.5,1.5
51,12.9,12.9,10.9,88,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,1.2,209,1008.8,1008.8,24.1,51,27,25,19.1,3.06,4.8,1.5,1.5,1.5
52,12.9,12.9,10.9,88,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.4,212,1008.9,1008.9,24.0,51,27,25,19.0,3.06,4.8,1.5,1.5,1.5
53,12.9,12.9,10.9,88,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,1.4,285,1008.8,1008.8,24.1,51,27,25,19.0,3.06,4.8,1.5,1.5,1.5
54,12.9,12.9,10.9,88,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,1.5,196,1008.8,1008.8,24.0,51,27,25,19.0,3.06,4.8,1.5,1.5,1.5
55,12.9,12.9,10.9,88,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,1.7,209,1008.8,1008.8,24.0,51,27,25,19.0,3.06,4.8,1.5,1.5,1.5
56,12.8,12.8,10.8,88,23.8,47,0.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.5,187,1008.8,1008.8,24.0,51,27,25,19.0,3.06,4.8,1.5,1.5,1.5
57,12.7,12.7,10.9,89,23.8,47,0.1,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,1.4,125,1008.7,1008.7,24.0,51,27,25,18.9,3.06,4.8,1.5,1.5,1.5
58,12.6,12.6,10.8,89,23.8,47,0.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,1.4,171,1008.7,1008.7,24.0,51,27,25,18.9,3.06,4.8,1.5,1.5,1.5
59,12.5,12.5,10.7,89,23.8,47,0.4,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,0.8,176,1008.7,1008.7,24.0,51,27,25,18.8,3.06,4.8,1.5,1.5,1.5
60,12.4,12.4,10.7,89,23.8,47,0.7,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.0,101,1008.8,1008.8,24.0,51,27,25,18.8,3.06,4.8,1.5,1.5,1.5
61,12.3,12.3,10.7,90,23.8,47,1.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,0.9,205,1008.8,1008.8,24.0,51,27,25,18.8,3.06,4.8,1.5,1.5,1.5
62,12.3,12.3,10.7,90,23.8,47,1.8,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.0,0.9,22,1008.8,1008.8,24.0,51,27,25,18.8,3.06,4.8,1.5,1.5,1.5
63,12.3,12.3,10.7,90,23.8,47,2.8,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.1,0.7,131,1008.8,1008.8,24.0,51,27,25,18.7,3.06,4.8,1.5,1.5,1.5
64,12.3,12.3,10.7,90,23.8,47,3.8,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.3,204,1008.8,1008.8,24.0,51,27,25,18.7,3.06,4.7,1.5,1.5,1.5
65,12.3,12.3,10.5,89,23.8,47,5.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,1.4,204,1008.7,1008.7,24.0,51,27,25,18.7,3.06,4.7,1.5,1.5,1.5
66,12.3,12.3,10.5,89,23.8,47,7.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,1.5,159,1008.8,1008.8,24.0,51,27,25,18.7,3.06,4.7,1.5,1.5,1.5
67,12.3,12.3,10.6,89,23.8,47,8.9,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.0,198,1008.7,1008.7,24.0,51,27,25,18.6,3.06,4.7,1.5,1.5,1.5
68,12.4,12.4,10.6,89,23.8,47,11.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.9,1.9,210,1008.7,1008.7,23.9,51,27,25,18.5,3.06,4.7,1.5,1.5,1.5
69,12.5,12.5,10.7,89,23.8,47,14.1,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,1.1,172,1008.7,1008.7,23.9,51,27,25,18.6,3.06,4.7,1.5,1.5,1.5
70,12.7,12.7,10.7,88,23.8,47,17.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.8,1.5,195,1008.8,1008.8,23.9,51,27,25,18.5,3.06,4.7,1.5,1.5,1.5
71,12.8,12.8,10.6,87,23.8,47,21.1,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.3,201,1008.7,1008.7,23.9,50,27,25,18.5,3.06,4.7,1.5,1.5,1.5
72,12.8,12.8,10.6,86,23.7,47,25.5,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.4,1.8,196,1008.5,1008.5,23.9,50,27,25,18.5,3.06,4.7,1.5,1.5,1.5
73,13.1,13.1,10.8,85,23.7,47,30.3,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,0.9,48,1008.5,1008.5,23.9,50,27,25,18.4,3.06,4.7,1.5,1.5,1.5
74,13.4,13.4,10.8,84,23.8,47,35.1,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.3,67,1008.4,1008.4,23.9,50,27,25,18.4,3.06,4.7,1.5,1.5,1.5
75,13.5,13.5,10.9,84,23.7,47,40.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.4,206,1008.6,1008.6,23.9,50,27,25,18.4,3.06,4.7,1.5,1.5,1.5
76,13.5,13.5,10.8,84,23.7,47,45.4,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.7,211,1008.5,1008.5,23.9,50,27,25,18.4,3.06,4.7,1.5,1.5,1.5
77,13.4,13.4,10.8,84,23.7,47,51.1,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.8,2.4,217,1008.5,1008.5,23.9,50,27,25,18.3,3.06,4.7,1.5,1.5,1.5
78,13.5,13.5,10.7,83,23.7,47,58.7,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,2.9,199,1008.5,1008.5,23.9,50,27,25,18.3,3.06,4.7,1.5,1.5,1.5
79,13.6,13.6,10.7,83,23.7,47,69.8,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.2,1.9,218,1008.4,1008.4,23.9,50,27,25,18.2,3.06,4.7,1.5,1.5,1.5
80,13.7,13.7,10.7,82,23.7,47,79.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.3,1.7,211,1008.4,1008.4,23.9,50,27,25,18.2,3.06,4.8,1.5,1.5,1.5
81,13.8,13.8,10.8,82,23.7,47,80.3,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.8,2.0,245,1008.4,1008.4,23.9,50,27,25,18.2,3.06,4.8,1.5,1.5,1.5
82,14.1,14.1,10.8,81,23.7,47,79.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,1.6,226,1008.4,1008.4,23.8,50,27,25,18.2,3.06,4.8,1.5,1.5,1.5
83,14.2,14.2,10.8,80,23.7,47,79.4,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.0,2.8,193,1008.4,1008.4,23.8,50,27,25,18.2,3.06,4.8,1.5,1.5,1.5
84,14.2,14.2,10.7,80,23.7,47,73.8,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.8,3.3,158,1008.3,1008.3,23.8,50,27,25,18.2,3.06,4.8,1.5,1.5,1.48
85,14.6,14.6,10.9,78,23.7,47,75.1,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.2,1.6,181,1008.3,1008.3,23.8,50,27,25,18.1,3.06,4.8,1.5,1.5,1.48
86,14.6,14.6,10.8,78,23.7,47,73.2,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.3,2.9,217,1008.3,1008.3,23.8,50,27,25,18.1,3.06,4.8,1.5,1.5,1.48
87,14.6,14.6,10.9,79,23.7,47,74.0,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,3.1,214,1008.4,1008.4,23.8,50,27,25,18.0,3.06,4.8,1.5,1.5,1.48
88,14.7,14.7,10.8,78,23.7,47,95.6,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,2.3,217,1008.4,1008.4,23.8,50,27,25,18.1,3.06,4.9,1.5,1.5,1.48
89,14.8,14.8,10.8,77,23.7,47,74.7,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.0,1.9,210,1008.5,1008.5,23.8,50,27,25,18.1,3.06,4.9,1.5,1.5,1.48
90,14.9,14.9,10.8,76,23.7,47,113.7,1,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,1.9,199,1008.4,1008.4,23.8,50,27,25,18.0,3.06,4.9,1.5,1.5,1.48
91,15.2,15.2,10.9,76,23.7,47,97.7,0,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,1.6,148,1008.3,1008.3,23.8,50,27,25,18.0,3.06,4.9,1.5,1.5,1.48
92,15.4,15.4,10.9,75,23.7,47,172.4,1,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.5,2.3,151,1008.3,1008.3,23.8,50,27,25,18.0,3.06,4.9,1.5,1.5,1.48
93,15.7,15.7,10.9,73,23.7,47,107.8,1,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.8,2.6,183,1008.2,1008.2,23.8,50,27,25,18.0,3.06,4.9,1.5,1.5,1.48
94,15.7,15.7,10.8,73,23.7,47,126.3,1,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,2.0,190,1008.3,1008.3,23.8,50,27,25,18.1,3.06,5.0,1.5,1.5,1.48
95,15.9,15.9,10.9,72,23.8,47,149.8,1,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.1,3.0,197,1008.3,1008.3,23.8,50,27,25,18.0,3.06,5.0,1.5,1.5,1.48
96,16.2,16.2,11.0,71,23.7,47,156.0,1,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,2.3,185,1008.2,1008.2,23.9,50,27,25,18.0,3.06,5.0,1.5,1.5,1.48
97,16.7,16.7,11.1,70,23.8,47,217.1,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,2.1,186,1008.2,1008.2,23.9,50,27,25,18.0,3.06,5.0,1.5,1.5,1.48
98,16.6,16.6,11.1,70,23.8,47,229.8,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.5,4.5,211,1008.1,1008.1,23.9,50,27,24,18.0,3.06,5.1,1.5,1.5,1.48
99,16.5,16.5,11.0,70,23.7,47,226.2,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.8,4.2,170,1008.1,1008.1,23.9,50,27,24,18.1,3.06,5.1,1.5,1.5,1.48
100,16.7,16.7,10.9,69,23.8,47,259.8,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,4.2,202,1008.1,1008.1,23.9,50,27,24,18.1,3.06,5.2,1.5,1.5,1.48
101,16.8,16.8,10.9,68,23.8,47,190.6,1,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.0,2.0,215,1008.0,1008.0,23.9,50,27,24,18.1,3.06,5.2,1.5,1.5,1.48
102,16.7,16.7,10.8,68,23.7,47,281.6,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.9,3.7,251,1008.1,1008.1,23.9,50,27,24,18.1,3.06,5.2,1.5,1.5,1.48
103,16.8,16.8,10.8,68,23.8,47,240.9,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.1,3.6,216,1008.0,1008.0,23.9,50,27,24,18.2,3.06,5.2,1.5,1.5,1.48
104,16.8,16.8,10.9,68,23.7,47,249.9,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.4,2.9,223,1008.1,1008.1,23.9,50,27,24,18.2,3.06,5.3,1.5,1.5,1.48
105,17.0,17.0,10.8,67,23.8,47,360.1,3,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.7,3.8,210,1008.2,1008.2,23.9,50,27,24,18.2,3.06,5.3,1.5,1.5,1.48
106,17.3,17.3,11.1,67,23.8,47,345.1,3,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.1,2.5,248,1008.1,1008.1,23.9,50,27,24,18.3,3.06,5.3,1.5,1.5,1.48
107,17.5,17.5,11.1,66,23.8,47,335.6,3,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.0,2.9,237,1008.1,1008.1,23.9,50,27,24,18.3,3.06,5.3,1.5,1.5,1.48
108,17.8,17.8,11.1,65,23.8,47,389.3,3,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.6,2.7,208,1008.1,1008.1,23.9,50,27,24,18.3,3.06,5.3,1.5,1.5,1.48
109,17.9,17.9,11.1,64,23.8,47,394.8,3,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.3,5.5,189,1008.1,1008.1,23.9,50,27,24,18.3,3.06,5.3,1.5,1.5,1.48
110,17.7,17.7,11.2,65,23.8,47,395.2,3,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.2,5.5,212,1008.0,1008.0,23.9,50,27,24,18.4,3.06,5.3,1.5,1.5,1.48
111,17.9,17.9,11.2,65,23.8,47,433.0,4,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.1,3.6,224,1007.9,1007.9,24.0,50,27,24,18.5,3.06,5.3,1.5,1.5,1.48
112,18.0,18.0,11.2,64,23.8,47,474.2,4,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.7,3.6,210,1007.9,1007.9,24.0,50,27,24,18.5,3.06,5.3,1.5,1.5,1.48
113,18.1,18.1,11.2,64,23.8,47,372.9,3,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.4,4.1,209,1007.8,1007.8,24.0,50,27,24,18.6,3.06,5.3,1.5,1.5,1.48
114,18.2,18.2,11.2,64,23.8,47,524.5,4,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.5,4.3,222,1007.8,1007.8,24.0,50,27,24,18.6,3.06,5.3,1.5,1.5,1.48
115,18.2,18.2,11.3,64,23.8,47,273.6,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.3,3.1,198,1007.8,1007.8,24.0,50,27,24,18.7,3.06,5.3,1.5,1.5,1.48
116,18.2,18.2,11.3,64,23.8,47,298.7,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.3,3.6,200,1007.8,1007.8,24.0,50,27,24,18.7,3.06,5.3,1.5,1.5,1.48
117,18.2,18.2,11.3,64,23.8,47,262.3,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.7,2.6,196,1007.8,1007.8,24.0,51,27,24,18.8,3.06,5.3,1.5,1.5,1.48
118,18.2,18.2,11.3,64,23.8,47,265.2,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.4,3.3,213,1007.8,1007.8,24.0,49,27,24,18.8,3.06,5.3,1.5,1.5,1.48
119,18.2,18.2,11.2,64,23.8,47,262.4,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,1.6,3.3,201,1007.8,1007.8,23.9,48,27,24,18.8,3.06,5.3,1.5,1.5,1.48
120,18.2,18.2,11.5,65,23.8,47,289.8,2,0.0,0.0,3.1,0.0,21.6,41.7,314.1,0.9,3.3,210,1007.8,1007.8,23.8,48,27,24,18.9,3.06,5.3,1.5,1.5,1.48
